lon lat velocity_east velocity_north azimuth velocity
268.8197383726 30.407424827899998 -0.0003 0.0008699999999999999 -19.025606037568686 0.000920271699010678
268.8197384155 30.407424858400002 -0.0003 0.00088 -18.824710018240065 0.0009297311439335567
268.8197383978 30.4074248342 -0.0003 0.0008699999999999999 -19.025606037568686 0.000920271699010678
268.8197383061 30.4074248423 -0.0003 0.0008699999999999999 -19.025606037568686 0.000920271699010678
266.9023965751 31.7508008303 -0.00016 0.00206 -4.441241189432813 0.002066204249342257
266.9023965862 31.750800811599998 -0.00016 0.00206 -4.441241189432813 0.002066204249342257
267.92409367759996 32.5290340941 8e-05 0.0009599999999999999 4.763641690726179 0.0009633275663033836
267.92409369169997 32.529034075 8e-05 0.0009599999999999999 4.763641690726179 0.0009633275663033836
242.9068041911 34.1164090607 -0.01573 0.01648 -43.66612632576935 0.022782082872292428
242.90680420720003 34.116409030599996 -0.01573 0.01648 -43.66612632576935 0.022782082872292428
242.9068046157 34.1164094508 -0.01573 0.01648 -43.66612632576935 0.022782082872292428
242.9068046511 34.1164094529 -0.01573 0.01648 -43.66612632576935 0.022782082872292428
242.906804678 34.1164094502 -0.01573 0.01648 -43.66612632576935 0.022782082872292428
242.90680470790002 34.1164094932 -0.01573 0.01648 -43.66612632576935 0.022782082872292428
185.7952427217 52.2095048204 -0.004529999999999999 -0.0021100000000000003 -114.97533465111864 0.004997299270606073
185.7952426912 52.2095047105 -0.004529999999999999 -0.0021100000000000003 -114.97533465111864 0.004997299270606073
185.79524277119998 52.2095046332 -0.004529999999999999 -0.0021100000000000003 -114.97533465111864 0.004997299270606073
191.1453291416 52.9706057081 -0.00343 -0.00099 -106.09971274847734 0.003570014005574768
191.1453293262 52.970605911499995 -0.00343 -0.00099 -106.09971274847734 0.003570014005574768
191.14532927049999 52.970605792600004 -0.00343 -0.00099 -106.09971274847734 0.003570014005574768
189.4325572496 63.6568646746 0.00262 -0.00292 138.0996321205313 0.003923111010409978
196.5765456409 54.885322662 -0.00225 -0.00141 -122.07400087529405 0.002655296593603057
196.57654570740002 54.8853226422 -0.00225 -0.00141 -122.07400087529405 0.002655296593603057
199.5232416909 55.3492767858 -0.00618 0.0035600000000000002 -60.055829838868995 0.007132040381265378
193.7991435099 60.3848323211 0.0022199999999999998 -0.0034 146.8578262330005 0.004060591089976926
193.7991435878 60.3848323551 0.0022199999999999998 -0.0034 146.8578262330005 0.004060591089976926
193.7991435898 60.384832323299996 0.0022199999999999998 -0.0034 146.8578262330005 0.004060591089976926
191.937875375 65.6149815486 0.00302 -0.00294 134.23097531742195 0.00421473605342019
194.6265421034 64.5644962347 0.0033299999999999996 -0.00386 139.21584710504803 0.005097891721094123
198.2537384663 58.9507954005 -0.00018999999999999998 -0.00246 -175.58348433177238 0.0024673264883269905
201.4962049327 56.30732713689999 -0.00704 0.00625 -48.40184090386862 0.009414037391045354
200.90846869840001 59.108166491800006 0.00047999999999999996 -0.00234 168.40782458970895 0.002388723508487326
200.1216393039 61.0397528479 0.0033200000000000005 -0.00441 143.0263057656885 0.005520009057963583
199.3052696001 63.886359598599995 0.00197 -0.00456 156.634808429415 0.0049673433543494855
197.38649290729998 66.8583634079 0.00172 -0.0047799999999999995 160.20961316675138 0.0050800393699261814
197.3864931033 66.85836339640001 0.00172 -0.0047799999999999995 160.20961316675138 0.0050800393699261814
183.3373512974 51.8641507776 -0.00976 0.00894 -47.51082676470967 0.01323560349965199
183.3373512746 51.8641508268 -0.00976 0.00894 -47.51082676470967 0.01323560349965199
183.3373512966 51.864150835699995 -0.00976 0.00894 -47.51082676470967 0.01323560349965199
183.3373514126 51.8641508049 -0.00976 0.00894 -47.51082676470967 0.01323560349965199
183.3373514163 51.864150823 -0.00976 0.00894 -47.51082676470967 0.01323560349965199
205.3017422877 59.8993199678 0.00475 -0.0085 150.80251395393555 0.009737171047075223
205.3017423007 59.8993199788 0.00475 -0.0085 150.80251395393555 0.009737171047075223
203.97660993990002 62.92931053189999 0.00317 -0.0066099999999999996 154.37872315600563 0.007330825328706175
203.0951114279 67.0558863774 0.00216 -0.004229999999999999 152.9494029929139 0.0047495789287051535
207.18508302560002 62.0938151616 0.0018 -0.00894 168.61613752892785 0.009119407875514726
207.1850829528 62.0938151327 0.00179 -0.00894 168.67774320276416 0.009117439333497098
209.8274569296 67.2510125734 0.0029 -0.00464 147.9946167919165 0.00547170905659283
217.61012568700002 60.0790688771 -0.01892 0.03102 -31.38022942194044 0.03633465012904349
217.6101256716 60.0790689764 -0.01892 0.03102 -31.38022942194044 0.03633465012904349
209.25601645580002 65.030398655 0.00244 -0.00762 162.24441593254326 0.008001124920909559
214.54811952900002 62.967323942600004 -0.00788 0.0055899999999999995 -54.64845872644004 0.009661392239216872
214.7873700623 66.5593463466 0.0018899999999999998 -0.0037600000000000003 153.31317264175544 0.004208289438714975
218.841934017 64.7773260708 0.00225 -0.00161 125.58582549451754 0.00276669477897364
221.1011850159 59.34037854859999 -0.019969999999999998 0.034480000000000004 -30.078407313274933 0.03984559323187446
221.1011850918 59.340378602799994 -0.019969999999999998 0.034480000000000004 -30.078407313274933 0.03984559323187446
221.10118505330001 59.3403786161 -0.019969999999999998 0.034480000000000004 -30.078407313274933 0.03984559323187446
221.1011850059 59.3403784734 -0.019969999999999998 0.034480000000000004 -30.078407313274933 0.03984559323187446
221.1011849827 59.3403784468 -0.019969999999999998 0.034480000000000004 -30.078407313274933 0.03984559323187446
223.35919132650002 58.198843359399994 -0.00562 0.01112 -26.811836928085093 0.012459486345752781
